07/04/2024 23:45:02 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  155ms | User Name : unknown
07/04/2024 23:45:03 - url: /api/me | controller: User | method: GET | duration time:  861ms | User Name : Malky
07/04/2024 23:45:03 - url: /api/todo | controller: User | method: GET | duration time:  857ms | User Name : Malky
07/04/2024 23:45:03 - url: /api/type | controller: User | method: GET | duration time:  36ms | User Name : Malky
07/04/2024 23:48:32 - url: /api/todo | controller: User | method: POST | duration time:  155ms | User Name : Malky
07/04/2024 23:48:33 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  12ms | User Name : unknown
07/04/2024 23:48:33 - url: /api/me | controller: User | method: GET | duration time:  97ms | User Name : Malky
07/04/2024 23:48:33 - url: /api/todo | controller: User | method: GET | duration time:  97ms | User Name : Malky
07/04/2024 23:48:33 - url: /api/type | controller: User | method: GET | duration time:  42ms | User Name : Malky
07/04/2024 23:48:37 - url: /html/users.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
07/04/2024 23:48:37 - url: /js/users.js | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
07/04/2024 23:48:37 - url: /api/me | controller: User | method: GET | duration time:  43ms | User Name : Malky
07/04/2024 23:48:37 - url: /api/user | controller: Admin | method: GET | duration time:  82ms | User Name : Malky
07/04/2024 23:48:55 - url: /api/user/4/todo | controller: Admin | method: POST | duration time:  76ms | User Name : Malky
07/04/2024 23:48:55 - url: /html/users.html | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
07/04/2024 23:48:55 - url: /api/me | controller: User | method: GET | duration time:  67ms | User Name : Malky
07/04/2024 23:48:55 - url: /api/user | controller: Admin | method: GET | duration time:  66ms | User Name : Malky
07/04/2024 23:49:05 - url: /api/user/9/todo | controller: Admin | method: POST | duration time:  60ms | User Name : Malky
07/04/2024 23:49:05 - url: /html/users.html | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
07/04/2024 23:49:05 - url: /api/me | controller: User | method: GET | duration time:  56ms | User Name : Malky
07/04/2024 23:49:05 - url: /api/user | controller: Admin | method: GET | duration time:  56ms | User Name : Malky
07/04/2024 23:49:10 - url: /api/user/9/todo/1 | controller: Admin | method: PUT | duration time:  58ms | User Name : Malky
07/04/2024 23:49:16 - url: /api/user/8/todo/1 | controller: Admin | method: PUT | duration time:  57ms | User Name : Malky
08/04/2024 00:07:47 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  110ms | User Name : unknown
08/04/2024 00:07:47 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  110ms | User Name : unknown
08/04/2024 00:07:48 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  4ms | User Name : unknown
08/04/2024 00:07:48 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  4ms | User Name : unknown
08/04/2024 00:07:48 - url: /js/utils.js | controller: Unknown | method: GET | duration time:  17ms | User Name : unknown
08/04/2024 00:07:48 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  67ms | User Name : unknown
08/04/2024 00:07:48 - url: /api/todo | controller: User | method: GET | duration time:  267ms | User Name : Malky
08/04/2024 00:07:48 - url: /api/me | controller: User | method: GET | duration time:  267ms | User Name : Malky
08/04/2024 00:07:48 - url: /api/type | controller: User | method: GET | duration time:  5ms | User Name : Malky
08/04/2024 00:08:01 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:08:01 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 00:08:01 - url: /api/me | controller: User | method: GET | duration time:  1ms | User Name : Malky
08/04/2024 00:08:01 - url: /api/todo | controller: User | method: GET | duration time:  1ms | User Name : Malky
08/04/2024 00:08:01 - url: /api/type | controller: User | method: GET | duration time:  0ms | User Name : Malky
08/04/2024 00:08:28 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 00:08:28 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 00:08:28 - url: /html/login.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:08:45 - url: /api/Login | controller: Authentication | method: POST | duration time:  3907ms | User Name : unknown
08/04/2024 00:08:45 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:08:45 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:08:45 - url: /api/me | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:08:45 - url: /api/todo | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:08:45 - url: /api/type | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:09:16 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  17ms | User Name : unknown
08/04/2024 00:09:16 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:09:16 - url: /api/me | controller: User | method: GET | duration time:  10ms | User Name : Dan
08/04/2024 00:09:16 - url: /api/todo | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:09:16 - url: /api/type | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:09:30 - url: /api/me | controller: User | method: GET | duration time:  0ms | User Name : Dan
08/04/2024 00:09:30 - url: /api/todo | controller: User | method: GET | duration time:  0ms | User Name : Dan
08/04/2024 00:09:30 - url: /api/type | controller: User | method: GET | duration time:  0ms | User Name : Dan
08/04/2024 00:09:57 - url: /js/tasks.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:09:57 - url: /html/login | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 00:09:57 - url: /api/me | controller: User | method: GET | duration time:  1ms | User Name : Dan
08/04/2024 00:10:14 - url: /html/login | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 00:10:18 - url: /_vs/browserLink | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
08/04/2024 00:10:18 - url: /_framework/aspnetcore-browser-refresh.js | controller: Unknown | method: GET | duration time:  1ms | User Name : unknown
08/04/2024 00:10:27 - url: /api/Login | controller: Authentication | method: POST | duration time:  6ms | User Name : unknown
08/04/2024 00:10:44 - url: /api/Login | controller: Authentication | method: POST | duration time:  3976ms | User Name : unknown
08/04/2024 00:10:44 - url: /html/tasks.html | controller: Unknown | method: GET | duration time:  0ms | User Name : unknown
